route,page type,html/static file exists yes/no,expected public URL,title,meta description,h1,visible word count,main content present yes/no,phone CTA present yes/no,quote CTA present yes/no,Google Ads tag present yes/no,phone conversion attribute present yes/no,quote conversion attribute present yes/no,CSS references valid yes/no,JS references valid yes/no,image references valid yes/no,favicon/icon references valid yes/no,response-time wording present yes/no,expected response-time classification,stale strings found,risky claims found,duplicate location wording found,chopped phrase fragments found,postcode-only wording found,hidden/visibility warning,notes
/electrical-faults/power-outage-after-storm,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/power-outage-after-storm,Power Outage After Storm Sydney & Surrounding Regions,"Power outage after a storm in Sydney? Evaready Electrical can help check storm-damaged circuits, switchboards, outdoor fixtures and supply concerns.",Power Outage After Storm,616,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/power-point-sparking,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/power-point-sparking,Power Point Sparking Sydney & Surrounding Regions,"Power point sparking in Sydney? Stop using the outlet and call Evaready Electrical for safe testing, repair or replacement.",Power Point Sparking,600,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/power-surge-damage,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/power-surge-damage,Power Surge Damage Sydney & Surrounding Regions,"Power surge damage in Sydney? Evaready Electrical can inspect affected circuits, switchboards and surge protection options after storms or supply events.",Power Surge Damage,592,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/rcd-trips-when-raining,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/rcd-trips-when-raining,RCD Trips When Raining Sydney & Surrounding Regions,"RCD trips when raining in Sydney? Evaready Electrical can test outdoor circuits, water-damaged fixtures and safety switch faults.",RCD Trips When Raining,612,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/safety-switch-keeps-tripping,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/safety-switch-keeps-tripping,Safety Switch Keeps Tripping Sydney & Surrounding Regions,"Safety switch keeps tripping in Sydney? Evaready Electrical can help test the circuit, isolate the cause and explain the next step.",Safety Switch Keeps Tripping,628,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/safety-switch-trips-at-night,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/safety-switch-trips-at-night,Safety Switch Trips At Night Sydney & Surrounding Regions,"Safety switch trips at night in Sydney? Evaready Electrical can trace appliance, hot water, outdoor and circuit faults that trip after hours.",Safety Switch Trips At Night,624,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/smoke-from-electrical-panel,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/smoke-from-electrical-panel,Smoke From Electrical Panel Sydney & Surrounding Regions,Smoke from an electrical panel or switchboard in Sydney? Keep clear and call Evaready Electrical for urgent electrical support.,Smoke From Electrical Panel,619,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/emergency-electrician-sydney,emergency page,yes,https://c0d312.github.io/evaready-electrical/emergency-electrician-sydney,Emergency Electrician Sydney | 60-Min Response,"Call Evaready for emergency electrical faults in Sydney. 60-minute core response, 90 minutes for greater regions. Power loss and sparking.",Emergency Electrician Sydney for Urgent Electrical Faults,2288,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,mixed,,,,,,,
/level-2-electrician-sydney,level 2 page,yes,https://c0d312.github.io/evaready-electrical/level-2-electrician-sydney,Level 2 Electrician Sydney | Accredited ASP,"Ausgrid & Endeavour Energy accredited Level 2 ASP for consumer mains, defect notices, metering and supply-side electrical work in Sydney.","Level 2 Electrician Sydney for Mains, Defects & Supply Work",2364,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,mixed,,,,,,,
/privacy-policy,privacy policy,yes,https://c0d312.github.io/evaready-electrical/privacy-policy,Privacy Policy | Evaready Electrical,"Privacy information for Evaready Electrical enquiries, quote requests and customer contact details.",Privacy Policy,827,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,n/a,,,,,,,
/robots.txt,robots,yes,https://c0d312.github.io/evaready-electrical/robots.txt,,,,6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,n/a,,,,,,,
/service-areas,service-area index,yes,https://c0d312.github.io/evaready-electrical/service-areas,Electrician Service Areas Sydney | Emergency & Level 2,"Search Evaready Electrical service areas across Sydney suburbs and surrounding regions for urgent faults, Level 2 work and planned electrical jobs.",Electricians Across Sydney & Surrounding Regions,1062,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,mixed,,,,,,,
/service-areas/blue-mountains,region page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains,Blue Mountains Electrician | Emergency & Level 2,"Need an electrician in Blue Mountains? Evaready helps with urgent faults, Level 2 work, switchboards, consumer mains, defect notices and planned electrical.","Blue Mountains Electrician - Emergency, Level 2 & Planned Work",1017,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains,area page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains,Blue Mountains Electrician | Blue Mountains,"Need an electrician in Blue Mountains? Evaready helps with urgent faults, Level 2 work, switchboards, consumer mains, defect notices and planned electrical.","Blue Mountains Electrician - Emergency, Level 2 & Planned Work",1048,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/berambing,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/berambing,Electrician Berambing 2758 | Emergency & Level 2,"Evaready helps Berambing with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Berambing 2758,2849,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/blaxland,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/blaxland,Electrician Blaxland 2774 | Emergency & Level 2,"Evaready helps Blaxland with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Blaxland 2774,2857,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/bullaburra,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/bullaburra,Electrician Bullaburra 2784 | Emergency & Level 2,"Need an electrician in Bullaburra? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Bullaburra 2784,2893,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/faulconbridge,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/faulconbridge,Electrician Faulconbridge 2776 | Emergency & Level 2,"Need electrical help in Faulconbridge 2776? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work.",Electrician Faulconbridge 2776,2787,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/glenbrook,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/glenbrook,Electrician Glenbrook 2773 | Emergency & Level 2,"Need electrical help in Glenbrook 2773? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Glenbrook 2773,2850,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/hawkesbury-heights,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/hawkesbury-heights,Electrician Hawkesbury Heights 2777 | Emergency & Level 2,"Evaready helps Hawkesbury Heights with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Hawkesbury Heights 2777,2865,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/hazelbrook,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/hazelbrook,Electrician Hazelbrook 2779 | Emergency & Level 2,"Evaready helps Hazelbrook with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Hazelbrook 2779,2779,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/katoomba,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/katoomba,Electrician Katoomba 2780 | Emergency & Level 2,"Need electrical help in Katoomba 2780? Evaready Electrical helps with storm-related faults, switchboards, outdoor circuits, smoke alarms, shed power.",Electrician Katoomba 2780,2781,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/lapstone,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/lapstone,Electrician Lapstone 2773 | Emergency & Level 2,"Need an electrician in Lapstone? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Lapstone 2773,2813,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/lawson,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/lawson,Electrician Lawson 2783 | Emergency & Level 2,"Need an electrician in Lawson? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Lawson 2783,2820,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/leura,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/leura,Electrician Leura 2780 | Emergency & Level 2,"Need an electrician in Leura? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Leura 2780,2905,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/linden,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/linden,Electrician Linden 2778 | Emergency & Level 2,"Need electrical help in Linden 2778? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across Blue.",Electrician Linden 2778,2905,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/mount-riverview,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/mount-riverview,Electrician Mount Riverview 2774 | Emergency & Level 2,"Evaready helps Mount Riverview with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Mount Riverview 2774,2914,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/springwood,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/springwood,Electrician Springwood 2777 | Emergency & Level 2,"Need an electrician in Springwood? Evaready Electrical helps with storm-related faults, outdoor circuits, switchboards, shed power, smoke alarms.",Electrician Springwood 2777,2762,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/sun-valley,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/sun-valley,Electrician Sun Valley 2777 | Emergency & Level 2,"Need electrical help in Sun Valley 2777? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Sun Valley 2777,2911,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/valley-heights,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/valley-heights,Electrician Valley Heights 2777 | Emergency & Level 2,"Need an electrician in Valley Heights? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Valley Heights 2777,2890,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/warrimoo,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/warrimoo,Electrician Warrimoo 2774 | Emergency & Level 2,"Need electrical help in Warrimoo 2774? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Warrimoo 2774,2803,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/wentworth-falls,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/wentworth-falls,Electrician Wentworth Falls 2782 | Emergency & Level 2,"Need electrical help in Wentworth Falls 2782? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work.",Electrician Wentworth Falls 2782,2964,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/winmalee,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/winmalee,Electrician Winmalee 2777 | Emergency & Level 2,"Need an electrician in Winmalee? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Winmalee 2777,2846,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/woodford,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/woodford,Electrician Woodford 2778 | Emergency & Level 2,"Need an electrician in Woodford? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Woodford 2778,2816,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/blue-mountains/blue-mountains/yellow-rock,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains/yellow-rock,Electrician Yellow Rock 2777 | Emergency & Level 2,"Need electrical help in Yellow Rock 2777? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Yellow Rock 2777,2965,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,greater,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west,region page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west,Canterbury-Bankstown & Inner South West Electrician,"Need an electrician in Canterbury-Bankstown & Inner South West? Evaready helps with urgent faults, Level 2 work, switchboards, consumer mains, defect.","Canterbury-Bankstown & Inner South West Electrician - Emergency, Level 2 & Planned Work",993,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown,area page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown,Canterbury-Bankstown Electrician | Emergency & Level 2,"Need an electrician in Canterbury-Bankstown? Evaready helps with urgent faults, Level 2 work, switchboards, consumer mains, defect notices and planned.","Canterbury-Bankstown Electrician - Emergency, Level 2 & Planned Work",1044,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown,Electrician Bankstown 2200 | Emergency & Level 2,"Need electrical help in Bankstown 2200? Evaready Electrical helps with urgent electrical faults, switchboard upgrades, lighting, power, data cabling.",Electrician Bankstown 2200,2699,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill,Electrician Bass Hill 2197 | Emergency & Level 2,"Need an electrician in Bass Hill? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Bass Hill 2197,2803,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield,Electrician Belfield 2191 | Emergency & Level 2,"Need an electrician in Belfield? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Belfield 2191,2724,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore,Electrician Belmore 2192 | Emergency & Level 2,"Need electrical help in Belmore 2192? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Belmore 2192,2681,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills,Electrician Beverly Hills 2209 | Emergency & Level 2,"Evaready helps Beverly Hills with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Beverly Hills 2209,2814,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong,Electrician Birrong 2143 | Emergency & Level 2,"Need an electrician in Birrong? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Birrong 2143,2708,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie,Electrician Campsie 2194 | Emergency & Level 2,"Need electrical help in Campsie 2194? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Campsie 2194,2708,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury,Electrician Canterbury 2193 | Emergency & Level 2,"Need electrical help in Canterbury 2193? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Canterbury 2193,2724,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill,Electrician Chester Hill 2162 | Emergency & Level 2,"Evaready helps Chester Hill with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Chester Hill 2162,2789,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park,Electrician Clemton Park 2206 | Emergency & Level 2,"Evaready helps Clemton Park with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Clemton Park 2206,2829,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park,Electrician Condell Park 2200 | Emergency & Level 2,"Need an electrician in Condell Park? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Condell Park 2200,2795,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood,Electrician Earlwood 2206 | Emergency & Level 2,"Need an electrician in Earlwood? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Earlwood 2206,2788,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills,Electrician East Hills 2213 | Emergency & Level 2,"Need an electrician in East Hills? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician East Hills 2213,2794,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall,Electrician Georges Hall 2198 | Emergency & Level 2,"Need electrical help in Georges Hall 2198? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work.",Electrician Georges Hall 2198,2837,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre,suburb page,yes,https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre,Electrician Greenacre 2190 | Emergency & Level 2,"Need electrical help in Greenacre 2190? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Greenacre 2190,2768,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,,,,,,,
