"region","area","suburb","postcode","route","current classification: core/greater","expected response wording","actual response wording","current displayed minutes: 60/90","possible 60-minute candidate yes/no","reason","recommended classification","needs owner approval yes/no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Earlwood","2206","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Earlwood, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","East Hills","2213","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in East Hills, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Georges Hall","2198","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Georges Hall, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Greenacre","2190","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Greenacre, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Kingsgrove","2208","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Kingsgrove, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Lakemba","2195","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Lakemba, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Lansdowne","2163","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Lansdowne, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Milperra","2214","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Milperra, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Milperra, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Mount Lewis","2190","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Mount Lewis, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Mount Lewis, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Narwee","2209","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Narwee, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Narwee, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Padstow","2211","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Padstow, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Padstow Heights","2211","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Padstow Heights, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Padstow Heights, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Panania","2213","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Panania, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Picnic Point","2213","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Picnic Point, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Picnic Point, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Potts Hill","2143","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Potts Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Punchbowl","2196","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Punchbowl, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Revesby","2212","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Revesby, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Revesby Heights","2212","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Revesby Heights, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Riverwood","2210","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Riverwood, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Roselands","2196","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Roselands, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Sefton","2162","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Sefton, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Sefton, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Villawood","2163","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Villawood, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Wiley Park","2195","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Wiley Park, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Wiley Park, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Yagoona","2199","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/yagoona/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Yagoona, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Yagoona, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Banksmeadow","2019","/service-areas/st-george-and-bayside/bayside-and-airport/banksmeadow/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Banksmeadow, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Banksmeadow, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Botany","2019","/service-areas/st-george-and-bayside/bayside-and-airport/botany/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Botany, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Botany, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Daceyville","2032","/service-areas/st-george-and-bayside/bayside-and-airport/daceyville/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Daceyville, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Eastgardens","2036","/service-areas/st-george-and-bayside/bayside-and-airport/eastgardens/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Eastgardens, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Eastlakes","2018","/service-areas/st-george-and-bayside/bayside-and-airport/eastlakes/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Eastlakes, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Hillsdale","2036","/service-areas/st-george-and-bayside/bayside-and-airport/hillsdale/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Hillsdale, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Hillsdale, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Mascot","2020","/service-areas/st-george-and-bayside/bayside-and-airport/mascot/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Mascot, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Pagewood","2035","/service-areas/st-george-and-bayside/bayside-and-airport/pagewood/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Pagewood, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Bayside & Airport","Rosebery","2018","/service-areas/st-george-and-bayside/bayside-and-airport/rosebery/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Rosebery, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Rosebery, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Allawah","2218","/service-areas/st-george-and-bayside/georges-river/allawah/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Allawah, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Beverley Park","2217","/service-areas/st-george-and-bayside/georges-river/beverley-park/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Beverley Park, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Beverley Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Blakehurst","2221","/service-areas/st-george-and-bayside/georges-river/blakehurst/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Blakehurst, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Carlton","2218","/service-areas/st-george-and-bayside/georges-river/carlton/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Carlton, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Carss Park","2221","/service-areas/st-george-and-bayside/georges-river/carss-park/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Carss Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Connells Point","2221","/service-areas/st-george-and-bayside/georges-river/connells-point/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Connells Point, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Hurstville","2220","/service-areas/st-george-and-bayside/georges-river/hurstville/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Hurstville, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Hurstville Grove","2220","/service-areas/st-george-and-bayside/georges-river/hurstville-grove/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Hurstville Grove, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Kogarah","2217","/service-areas/st-george-and-bayside/georges-river/kogarah/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Kogarah, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Kogarah Bay","2217","/service-areas/st-george-and-bayside/georges-river/kogarah-bay/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Kogarah Bay, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Kyle Bay","2221","/service-areas/st-george-and-bayside/georges-river/kyle-bay/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Kyle Bay, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Lugarno","2210","/service-areas/st-george-and-bayside/georges-river/lugarno/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Lugarno, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Mortdale","2223","/service-areas/st-george-and-bayside/georges-river/mortdale/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Mortdale, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Oatley","2223","/service-areas/st-george-and-bayside/georges-river/oatley/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Oatley, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Oatley, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"St George & Bayside","Georges River","Peakhurst","2210","/service-areas/st-george-and-bayside/georges-river/peakhurst/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Peakhurst, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for storm-related faults, water-affected fittings, tripping safety switches and unsafe outdoor power in Peakhurst, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
