"priority","platform","type","URL","free/paid/unknown","verification required","submitted yes/no","live URL","status","owner","date submitted","follow-up date","notes"
"2","CCTV/security installer directories","supplier/trade directory","manual search required","unknown","yes","no","","not started","","","","Use Open Cabler wording carefully."
"2","Air conditioning / heat pump directories","supplier/trade directory","manual search required","unknown","yes","no","","not started","","","","Use ARCtick L157323 only within confirmed scope."
"2","Switchboard/safety switch supplier directories","supplier directory","manual search required","unknown","yes","no","","not started","","","","List only where supplier relationship or eligibility is real."
"2","Smoke alarm supplier directories","supplier directory","manual search required","unknown","yes","no","","not started","","","","Avoid implying manufacturer partnership unless real."
"3","Sydney local business directories","local directory","manual search required","unknown","yes","no","","not started","","","","Search for reputable Sydney business directories; avoid spam listings."
"3","Canterbury-Bankstown local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Sutherland Shire local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","St George and Bayside local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Inner West local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Parramatta and Cumberland local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Liverpool and Fairfield local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Wollongong and Illawarra local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Central Coast South local directories","local directory","manual search required","unknown","yes","no","","not started","","","","Use service-area wording; do not claim an office."
"3","Local chambers of commerce","local authority/citation","manual search required","paid/unknown","yes","no","","not started","","","","Join only if membership is real and useful."
"3","Local sponsorship opportunities","local backlink/outreach","manual search required","paid/unknown","yes","no","","not started","","","","Only pursue genuine sponsorships."
"3","Builder partner pages","outreach/backlink","manual outreach","unknown","yes","no","","not started","","","","Use builder outreach template; do not claim partnership unless agreed."
"3","Property manager supplier lists","outreach/backlink","manual outreach","unknown","yes","no","","not started","","","","Use property manager outreach template; do not claim relationship until approved."
"3","Strata manager supplier lists","outreach/backlink","manual outreach","unknown","yes","no","","not started","","","","Use strata manager outreach template; do not claim relationship until approved."
"3","Real estate agency supplier lists","outreach/backlink","manual outreach","unknown","yes","no","","not started","","","","Use real estate outreach template."
"3","Local supplier websites","outreach/backlink","manual outreach","unknown","yes","no","","not started","","","","Use supplier outreach template only where relationship is genuine."
"3","Manufacturer installer pages","supplier/manufacturer backlink","manual search required","unknown","yes","no","","not started","","","","Submit only if eligibility is confirmed."
"3","Community clubs sponsorship pages","local sponsorship","manual search required","paid/unknown","yes","no","","not started","","","","Only if sponsorship is genuine."
"3","Local school/community sponsorship pages","local sponsorship","manual search required","paid/unknown","yes","no","","not started","","","","Only if sponsorship is genuine and owner approves."
"3","Case-study link requests","customer permission/backlink","manual outreach","unknown","yes","no","","not started","","","","Use only with customer permission and no private details."
"3","Supplier testimonial pages","supplier backlink","manual outreach","unknown","yes","no","","not started","","","","Provide testimonial only for suppliers actually used."
"3","Local renovation/building blogs","editorial outreach","manual outreach","unknown","yes","no","","not started","","","","Pitch useful safety/checklist content; do not buy spam links."
"3","Local property investor groups","local authority/outreach","manual search required","unknown","yes","no","","not started","","","","Avoid spam. Use practical electrical safety content."
"3","Local strata/property newsletters","outreach","manual outreach","unknown","yes","no","","not started","","","","Offer useful safety checklist content only."
"3","Local emergency/storm safety resources","content outreach","manual outreach","unknown","yes","no","","not started","","","","Pitch storm electrical safety checklist when built."
